player_name,team_name,minute,shot_statsbomb_xg,shot_outcome_name,shot_technique_name,shot_body_part_name,x,y,is_goal
Karim Benzema,Real Madrid,6,0.08956686,Wayward,Normal,Left Foot,107.8,33.9,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,6,0.6540582,Goal,Normal,Left Foot,111.4,44.6,1
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,24,0.047378395,Blocked,Normal,Head,112.2,31.5,0
Luka Modrić,Real Madrid,24,0.020789662,Blocked,Half Volley,Right Foot,95.5,49.3,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,24,0.09447582,Goal,Normal,Head,111.8,42.0,1
Federico Nicolás Cartabia,RC Deportivo La Coruña,27,0.008186427,Off T,Normal,Left Foot,95.1,58.6,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,28,0.12084824,Post,Half Volley,Right Foot,112.9,29.1,0
Karim Benzema,Real Madrid,29,0.12476361,Saved,Normal,Right Foot,100.3,33.7,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,33,0.059344236,Post,Normal,Left Foot,103.9,26.1,0
Federico Nicolás Cartabia,RC Deportivo La Coruña,35,0.010996024,Off T,Normal,Left Foot,103.5,60.0,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,44,0.025259702,Blocked,Normal,Right Foot,87.8,41.9,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,44,0.020563047,Blocked,Half Volley,Right Foot,93.2,41.6,0
Carlos Henrique Casimiro,Real Madrid,44,0.34565815,Off T,Lob,Right Foot,109.4,37.6,0
James David Rodríguez Rubio,Real Madrid,49,0.032694895,Saved,Normal,Left Foot,94.0,47.1,0
Lucas Pérez Martínez,RC Deportivo La Coruña,53,0.05083472,Saved,Normal,Right Foot,98.9,43.6,0
Manuel Pablo García Díaz,RC Deportivo La Coruña,58,0.1691892,Off T,Normal,Left Foot,103.0,41.1,0
Sidnei Rechel da Silva Júnior,RC Deportivo La Coruña,64,0.062484253,Blocked,Half Volley,Left Foot,99.3,43.4,0
Daniel Carvajal Ramos,Real Madrid,66,0.015346278,Off T,Half Volley,Right Foot,95.2,54.9,0
Alejandro Bergantiños García,RC Deportivo La Coruña,67,0.06881589,Off T,Half Volley,Right Foot,97.2,45.5,0
Roberto Suárez Pier,RC Deportivo La Coruña,71,0.34450844,Saved,Normal,Head,116.0,41.1,0
Pedro Mosquera Parada,RC Deportivo La Coruña,73,0.02289663,Off T,Normal,Left Foot,90.4,48.6,0
Francisco Román Alarcón Suárez,Real Madrid,78,0.08893098,Off T,Normal,Head,108.1,38.6,0
